CERGY-LE-HAUT CERGY-ST-CHRISTOPHE
CERGY-ST-CHRISTOPHE CERGY-PREFECTURE
CERGY-PREFECTURE NEUVILLE-UNIVERSITE
NEUVILLE-UNIVERSITE CONFLANS-FIN-D'OISE
CONFLANS-FIN-D'OISE ACHERES-VILLE
ACHERES-VILLE MAISONS-LAFFITTE
POISSY ACHERES-GRAND-CORMIER
ACHERES-GRAND-CORMIER MAISONS-LAFFITTE
MAISONS-LAFFITTE SARTROUVILLE
SARTROUVILLE HOUILLES-CARRIERES-SUR-SEINE
HOUILLES-CARRIERES-SUR-SEINE NANTERRE-PREFECTURE
NANTERRE-UNIVERSITE NANTERRE-VILLE
NANTERRE-VILLE RUEIL-MALMAISON
RUEIL-MALMAISON CHATOU-CROISSY
CHATOU-CROISSY LEVESINET-CENTRE
LEVESINET-CENTRE LEVESINET-LE-PECQ
LEVESINET-LE-PECQ ST-GERMAIN-EN-LAYE
NANTERRE-UNIVERSITE NANTERRE-PREFECTURE
NANTERRE-PREFECTURE LADEFENSE
LADEFENSE CHARLES-DEGAULLE-ETOILE
CHARLES-DEGAULLE-ETOILE AUBER
AUBER CHATELET-LES-HALLES
CHATELET-LES-HALLES GARE-DE-LYON
GARE-DE-LYON NATION
NATION VINCENNES
VINCENNES VAL-DE-FONTENAY
VAL-DE-FONTENAY	NEUILLY-PLAISANCE
NEUILLY-PLAISANCE BRY-SUR-MARNE
BRY-SUR-MARNE NOISY-LE-GRANDMONT-D'EST
NOISY-LE-GRANDMONT-D'EST NOISY-CHAMPS
NOISY-CHAMPS NOISIEL
NOISIEL LOGNES
LOGNES TORCY
TORCY BUSSY-ST-GEORGES
BUSSY-ST-GEORGES VALD'EUROPE
VALD'EUROPE MARNE-LA-VALLEE-CHESSY
FONTENAY-SOUS-BOIS VINCENNES
NOGENT-SUR-MARNE FONTENAY-SOUS-BOIS
NOGENT-SUR-MARNE JOINVILLE-LE-PONT
JOINVILLE-LE-PONT ST-MAUR-CRETEIL
ST-MAUR-CRETEIL LEPARC-ST-MAUR
LEPARC-ST-MAUR CHAMPIGNY
CHAMPIGNY LAVARENNE-CHENNEVIERES
LAVARENNE-CHENNEVIERES SUCY-BONNEUIL
SUCY-BONNEUIL BOISSY-ST-LEGER
MITRY-CLAYE VILLEPARISIS-MITRY-LE-NEUF 
VILLEPARISIS-MITRY-LE-NEUF VERT-GALANT 
VERT-GALANT SEVRAN-LIVRY 
SEVRAN-LIVRY AULNAY-SOUS-BOIS
AULNAY-SOUS-BOIS SEVRAN-BEAUDOTTES
SEVRAN-BEAUDOTTES VILLEPINTE 
VILLEPINTE PARC-DES-EXPOSITIONS
