MITRY-CLAYE VILLEPARISIS-MITRY-LE-NEUF 
VILLEPARISIS-MITRY-LE-NEUF VERT-GALANT 
VERT-GALANT SEVRAN-LIVRY 
SEVRAN-LIVRY AULNAY-SOUS-BOIS
AULNAY-SOUS-BOIS SEVRAN-BEAUDOTTES
SEVRAN-BEAUDOTTES VILLEPINTE 
VILLEPINTE PARC-DES-EXPOSITIONS
PARC-DES-EXPOSITIONS AEROPORT-CHARLES-DE-GAULLE-1
AEROPORT-CHARLES-DE-GAULLE-1 AEROPORT-CHARLES-DE-GAULLE-2-TGV
AULNAY-SOUS-BOIS BLANC-MESNIL
BLANC-MESNIL DRANCY
DRANCY LE-BOURGET
LE-BOURGET LA-COURNEUVE-AUBERVILLIERS
LA-COURNEUVE-AUBERVILLIERS LA-PLAINE-STADE-DE-FRANCE
LA-PLAINE-STADE-DE-FRANCE GARE-DU-NORD
GARE-DU-NORD CHATELET-LES-HALLES
CHATELET-LES-HALLES ST-MICHEL-NOTRE-DAME
ST-MICHEL-NOTRE-DAME LUXEMBOURG
LUXEMBOURG PORT-ROYAL
PORT-ROYAL DENFERT-ROCHEREAU
DENFERT-ROCHEREAU CITE-UNIVERSITAIRE
CITE-UNIVERSITAIRE GENTILLY
GENTILLY LAPLACE
LAPLACE ARCUEIL-CACHAN
ARCUEIL-CACHAN BAGNEUX
BAGNEUX BOURG-LA-REINE
BOURG-LA-REINE SCEAUX
SCEAUX FONTENAY-AUX-ROSES
FONTENAY-AUX-ROSES ROBINSON
BOURG-LA-REINE PARC-DE-SCEAUX
PARC-DE-SCEAUX LA-CROIX-DE-BERNY
LA-CROIX-DE-BERNY ANTONY
ANTONY FONTAINE-MICHALON
FONTAINE-MICHALON LES-BACONNETS
LES-BACONNETS MASSY-VERRIERES
MASSY-VERRIERES MASSY-PALAISEAU
MASSY-PALAISEAU PALAISEAU
PALAISEAU PALAISEAU-VILLEBON
PALAISEAU-VILLEBON LOZERE
LOZERE LE-GUICHET
LE-GUICHET ORSAY-VILLE
ORSAY-VILLE BURES-SUR-YVETTE
BURES-SUR-YVETTE LA-HACQUINIERE
LA-HACQUINIERE GIF-SUR-YVETTE
GIF-SUR-YVETTE COURCELLE-SUR-YVETTE
COURCELLE-SUR-YVETTE ST-REMY-LES-CHEVREUSE
