PONTOISE SAINT-QUENTIN-LAUMONE
SAINT-QUENTIN-LAUMONE ST-OUEN-LAUMONE-LIESSE
ST-OUEN-LAUMONE-LIESSE PIERRELAYE
PIERRELAYE MONTIGNY-BEAUCHAMP
MONTIGNY-BEAUCHAMP FRANCONVILLE-PLESSIS-BOUCHARD
FRANCONVILLE-PLESSIS-BOUCHARD CERNAY
CERNAY ERMONT-EAUBONNE
ERMONT-EAUBONNE SAINT-GRATIEN
SAINT-GRATIEN EPINAY-SUR-SEINE 
EPINAY-SUR-SEINE GENNEVILLIERS
GENNEVILLIERS LES-GRESILLONS
LES-GRESILLONS SAINT-OUEN
SAINT-OUEN PORTE-DE-CLICHY
PORTE-DE-CLICHY PEREIRE-LEVALLOIS
PEREIRE-LEVALLOIS NEUILLY-PORTE-MAILLOT
NEUILLY-PORTE-MAILLOT AVENUE-FOCH
AVENUE-FOCH AVENUE-HENRI-MARTIN
AVENUE-HENRI-MARTIN BOULAINVILLIERS
BOULAINVILLIERS AVENUE-DU-PRESIDENT-KENNEDY
AVENUE-DU-PRESIDENT-KENNEDY JAVEL
JAVEL BOULEVARD-VICTOR-PONT-DU-GARIGLIANO
BOULEVARD-VICTOR-PONT-DU-GARIGLIANO ISSY-VAL-DE-SEINE
ISSY-VAL-DE-SEINE ISSY
ISSY MEUDON-VAL-FLEURY
MEUDON-VAL-FLEURY CHAVILLE-VELIZY
CHAVILLE-VELIZY VIROFLAY-RIVE-GAUCHE 
VIROFLAY-RIVE-GAUCHE PORCHEFONTAINE
PORCHEFONTAINE VERSAILLES-CHATEAU-RIVE-GAUCHE
VIROFLAY-RIVE-GAUCHE VERSAILLES-CHANTIERS
VERSAILLES-CHANTIERS SAINT-CYR-LECOLE
SAINT-CYR-LECOLE SAINT-QUENTIN-EN-YVELINES
AVENUE-DU-PRESIDENT-KENNEDY CHAMP-DE-MARS-TOUR-EIFFEL
CHAMP-DE-MARS-TOUR-EIFFEL PONT-DE-LALMA
PONT-DE-LALMA INVALIDES
INVALIDES MUSEE-DORSAY
MUSEE-DORSAY SAINT-MICHEL-NOTRE-DAME
SAINT-MICHEL-NOTRE-DAME PARIS-AUSTERLITZ
PARIS-AUSTERLITZ BIBLIOTHEQUE-FRANCOIS-MITTERAND
BIBLIOTHEQUE-FRANCOIS-MITTERAND IVRY-SUR-SEINE
IVRY-SUR-SEINE LES-ARDOINES
LES-ARDOINES CHOISY-LE-ROI 
CHOISY-LE-ROI VILLENEUVE-LE-ROI
VILLENEUVE-LE-ROI ABLON
ABLON ATHIS-MONS
ATHIS-MONS JUVISY 
CHOISY-LE-ROI LES-SAULES
LES-SAULES ORLY-VILLE
ORLY-VILLE PONT-DE-RUNGIS-AEROPORT-DORLY
PONT-DE-RUNGIS-AEROPORT-DORLY RUNGIS-LA-FRATERNELLE
RUNGIS-LA-FRATERNELLE CHEMIN-DANTONY
CHEMIN-DANTONY MASSY-VERRIERES
MASSY-VERRIERES MASSY-PALAISEAU 
MASSY-PALAISEAU IGNY
IGNY BIEVRES
BIEVRES VAUBAYEN
VAUBAYEN JOUY-EN-JOSAS
JOUY-EN-JOSAS PETIT-JOUY-LES-LOGES
VIROFLAY-RIVE-GAUCHE PETIT-JOUY-LES-LOGES
VERSAILLES-CHATEAU-RIVE-GAUCHE PETIT-JOUY-LES-LOGES
JUVISY SAVIGNY-SUR-ORGE
SAVIGNY-SUR-ORGE PETIT-VAUX
PETIT-VAUX GRAVIGNY-BALIZY
SAVIGNY-SUR-ORGE CHILLY-MAZARIN
CHILLY-MAZARIN LONGJUMEAU
LONGJUMEAU MASSY-PALAISEAU
SAVIGNY-SUR-ORGE EPINAY-SUR-ORGE
EPINAY-SUR-ORGE SAINTE-GENEVIEVE-DES-BOIS
SAINTE-GENEVIEVE-DES-BOIS SAINT-MICHEL-SUR-ORGE
SAINT-MICHEL-SUR-ORGE BRETIGNY
BRETIGNY LA-NORVILLE-ST-GERMAIN-LES-ARPAJON
LA-NORVILLE-ST-GERMAIN-LES-ARPAJON ARPAJON
ARPAJON EGLY
EGLY BREUILLET-BRUYERES-LE-CHATEL
BREUILLET-BRUYERES-LE-CHATEL BREUILLET-VILLAGE
BREUILLET-VILLAGE SAINT-CHERON
SAINT-CHERON SERMAISE
SERMAISE DOURDAN
DOURDAN DOURDAN-LA-FORET
BRETIGNY MAROLLES-EN-HUREPOIX
MAROLLES-EN-HUREPOIX BOURAY
BOURAY LARDY
LARDY CHAMARANDE
CHAMARANDE ETRECHY
ETRECHY ETAMPES
ETAMPES SAINT-MARTIN-DETAMPES
