CERGY-LE-HAUT;YERRES;CERGY-LE-HAUT;CERGY-ST-CHRISTOPHE;CERGY-LE-HAUT
CERGY-ST-CHRISTOPHE;CERGY-LE-HAUT;CERGY-ST-CHRISTOPHE;CERGY-PREFECTURE;
CERGY-PREFECTURE;VULAINES-SUR-SEINE-SAMOREAU;CERGY-PREFECTURE;NEUVILLE-UNIVERSITE;
NEUVILLE-UNIVERSITE;VOSVES;NEUVILLE-UNIVERSITE;CONFLANS-FIN-D'OISE;
CONFLANS-FIN-D'OISE;VITRY-SUR-SEINE;CONFLANS-FIN-D'OISE;ACHERES-VILLE;
ACHERES-VILLE;VIRY-CHATILLON;ACHERES-VILLE;POISSY;
POISSY;VIROFLAYR.G;POISSY;ACHERES-GRAND-CORMIER;
ACHERES-GRAND-CORMIER;VIROFLAYR.D.;ACHERES-GRAND-CORMIER;MAISONS-LAFFITTE;
MAISONS-LAFFITTE;VINCENNES;MAISONS-LAFFITTE;SARTROUVILLE;
SARTROUVILLE;VILLIERS-SUR-MARNE-PLESSIS-TREVISE;SARTROUVILLE;HOUILLES-CARRIERES-SUR-SEINE;
HOUILLES-CARRIERES-SUR-SEINE;VILLIERS-NEAUPHLEPONCHARTRAIN;HOUILLES-CARRIERES-SUR-SEINE;NANTERRE-UNIVERSITE;
NANTERRE-UNIVERSITE;VILLIERS-MONTBARBIN;NANTERRE-UNIVERSITE;NANTERRE-VILLE;
NANTERRE-VILLE;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;NANTERRE-VILLE;RUEIL-MALMAISON;
RUEIL-MALMAISON;VILLEPREUX-LES-CLAYES;RUEIL-MALMAISON;CHATOU-CROISSY;
CHATOU-CROISSY;VILLEPINTE;CHATOU-CROISSY;LEVESINET-CENTRE;
LEVESINET-CENTRE;VILLEPARISISMITRY-LE-NEUF;LEVESINET-CENTRE;LEVESINET-LE-PECQ;
LEVESINET-LE-PECQ;VILLENNES-SUR-SEINE;LEVESINET-LE-PECQ;ST-GERMAIN-EN-LAYE;
ST-GERMAIN-EN-LAYE;VILLENEUVE-TRIAGE;ST-GERMAIN-EN-LAYE;NANTERRE-PREFECTURE;
NANTERRE-PREFECTURE;VILLENEUVE-ST-GEORGES;NANTERRE-PREFECTURE;LADEFENSE;
LADEFENSE;VILLENEUVE-PRAIRIE;LADEFENSE;CHARLES-DEGAULLE-ETOILE;
CHARLES-DEGAULLE-ETOILE;VILLENEUVE-LE-ROI;CHARLES-DEGAULLE-ETOILE;AUBER;
AUBER;VILLAINES;AUBER;CHATELET-LES-HALLES;
CHATELET-LES-HALLES;VILLABE;CHATELET-LES-HALLES;GARE-DE-LYON;
GARE-DE-LYON;VIGNEUX-SUR-SEINE;GARE-DE-LYON;NATION;
NATION;VIARMES;NATION;VINCENNES;
VINCENNES;VERT-GALANT;VINCENNES;VAL-DE-FONTENAY;
VAL-DE-FONTENAY;VERSAILLESR.G;VAL-DE-FONTENAY;NEUILLY-PLAISANCE;
NEUILLY-PLAISANCE;VERSAILLESR.D;NEUILLY-PLAISANCE;BRY-SUR-MARNE;
BRY-SUR-MARNE;VERSAILLES-CHANTIERS;BRY-SUR-MARNE;NOISY-LE-GRANDMONT-D'EST;
NOISY-LE-GRANDMONT-D'EST;VERNOUILLET-VERNEUIL;NOISY-LE-GRANDMONT-D'EST;NOISY-CHAMPS;
NOISY-CHAMPS;VERNOU-SUR-SEINE;NOISY-CHAMPS;NOISIEL;
NOISIEL;VERNEUIL-L'ETANG;NOISIEL;LOGNES;
LOGNES;VAUX-SUR-SEINE;LOGNES;TORCY;
TORCY;VAUCRESSON;TORCY;BUSSY-ST-GEORGES;
BUSSY-ST-GEORGES;VAUCELLES;BUSSY-ST-GEORGES;;
VALD'EUROPE;VAUBOYEN;;;
MARNE-LA-VALLEECHESSY;VANVES-MALAKOFF;;;
FONTENAY-SOUS-BOIS;VALMONDOIS;;;
NOGENT-SUR-MARNE;VALD'EUROPE;;;
JOINVILLE-LE-PONT;VAL-DE-FONTENAY;;;
ST-MAUR-CRETEIL;VAL-D'OR;;;
LEPARC-ST-MAUR;VAL-D'ARGENTEUIL;;;
CHAMPIGNY;VAIRES-TORCY;;;
LAVARENNE-CHENNEVIERES;US;;;
SUCY-BONNEUIL;TRILPORT;;;
BOISSY-ST-LEGER;TRIEL-SUR-SEINE;;;
MITRY-CLAYE;TRAPPES;;;
VILLEPARISISMITRY-LE-NEUF;TOURNAN;;;
VERT-GALANT;TORCY;;;
SEVRAN-LIVRY;THUN-LE-PARADIS;;;
SEVRAN-BEAUDOTTES;THOMERY;;;
VILLEPINTE;THIEUX-NANTOUILLET;;;
PARC-DES-EXPOSITIONS;TAVERNY;;;
AEROPORTCHARLES-DE-GAULLE-1;TACOIGNIERES-RICHEBOURG;;;
AEROPORTCHARLES-DE-GAULLE-2-TGV;SURVILLIERS-FOSSES;;;
AULNAY-SOUS-BOIS;SURESNESMONT-VALERIEN;;;
BLANC-MESNIL;SUCY-BONNEUIL;;;
DRANCY;STE-GENEVIEVE-DES-BOIS;;;
LEBOURGET;STE-COLOMBESEPTVEILLES;;;
LACOURNEUVE-AUBERVILLIERS;STADE-DE-FRANCE-SAINT-DENIS;;;
LA-PLAINE-STADE-DE-FRANCE;ST-REMY-LES-CHEVREUSE;;;
GARE-DU-NORD;ST-QUENTIN-EN-YVELINES;;;
ST-MICHEL-NOTRE-DAME;ST-OUEN-L'AUMONE(QUARTIERDEL'EGLISE);;;
LUXEMBOURG;ST-OUEN-L'AUMONE-LIESSE;;;
PORT-ROYAL;ST-OUEN-L'AUMONE;;;
DENFERT-ROCHEREAU;ST-OUEN;;;
CITEUNIVERSITAIRE;ST-NOM-LA-BRETECHE-FORET-DE-MARLY;;;
GENTILLY;ST-MICHEL-SUR-ORGE;;;
LAPLACE;ST-MICHEL-NOTRE-DAME;;;
ARCUEIL-CACHAN;ST-MAUR-CRETEIL;;;
BAGNEUX(PONTROYAL);ST-MARTIN-D'ETAMPES;;;
BOURG-LA-REINE;ST-MAMMES;;;
PARC-DE-SCEAUX;ST-LEU-LA-FORET;;;
LACROIX-DE-BERNY;ST-GRATIEN;;;
ANTONY;ST-GERMAING.C.;;;
FONTAINE-MICHALON;ST-GERMAIN-EN-LAYE;;;
LESBACONNETS;ST-GERMAIN-BEL-AIR-FOURQUEUX;;;
